head-word,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,modern-spelling,part-of-speech,references,reference-link,annotation-id,synonym-in-glossary,antonym-in-glossary,see-also-in-glossary,questions-observations-examples-references,folio,entry-id,entry-heading,editorial-comment,editors-notes,uncertain
Ferlin,,,"meaning uncertain, possibly a kind of wool cloth known as ""wadnall"" in contemporary English",,felin,n.(m),COT1611 | markovitch1976 | hardoin1994,https://books.google.com/books?id=A9xHnArfZSMC&pg=PA499&lpg=PA499&dq=%22felin%22+%22etoffe%22&source=bl&ots=ugVWSX5i-6&sig=czo1oRTO28atfk7JQUH8lUcm348&hl=fr&sa=X&ved=0ahUKEwjG7N_knbLNAhWMNz4KHWomB00Q6AEIHjAA#v=onepage&q=%22felin%22%20%22etoffe%22&f=false | https://books.google.com/books?hl=fr&id=7I_WAAAAMAAJ&dq=%22failin%22+%22laine%22&focus=searchwithinvolume&q=%22failin%22,,,,,,,,,,,x
Fermoir,fermouer,,closure (the closing part of a clay contour),,,n.(m),,,,,,,,146r,,,,,
Ferrements,,,iron fittings,,,n.(m),,,,,,,,,,,,,
Ferue,,,proportion,,,,DMF2015,,,,,,,,,,,,
Festu,,,a straw,,fétu,n.(m),,,,,,,,"14r, 97v",,,,,
Fiel,,,"gall, bile",,,n.(m),COT1611,,,,,,,,,,,,
Fiens,,,dung,,"fiente, fumier",n.(m),,,,,,,,76r,,,,,
Figuier,,,fig tree,,,n.(m),,,,,,,,,,,,,
Figure,,1,representation (in the abstract sense),,,n.(f),,,,,,,,,,,,,
Figure,,2,figure (where clearly referring to a material object),,,n.(f),,,,,,,,,57v_1,,,,
Figuré,,1,figurated (decorated with human or animal figures as opposed to abstract ornaments),,,adj.,,,,,,,,,,,,,
Figuré,,2,fashioned,,,adj.,,,,,,,,30r,,,,,
Fil de cire,,,"thread of wax, i.e., a sprue used in casting (the wax sprue forms a channel by which the metal flows into the mold)",,,n.(m),,,,,,"cire, filon de | cir, fil de | filon de cire",,,,,,,
Fil du bois,,,the grain of the wood,,,n.(m),,,,,,,,,,,,,
Filet,,,thread,,,n.(m),COT1611,,,,,,,,,,,,
Filiere,,,file,,,n.(f),,,,,,coux,,80v,,,,,
Filière,,,wire-drawing plate,,,n.(f),,,,,,,,,,,,,
Filon,,,vein; vein of metal,,,n.(m),COT1611 | DMF,,,,,,,,,,,,
Filon de cire,,,"vein of wax, i.e., a sprue used in casting (the wax sprue forms a channel by which the metal flows into the mold) ",,,n.(m),,,,,,"cire, filon de | cir, fil de",,,p165v_a6,,,,
Fin,,,"fine (in the case of metals, this can mean pure; in other cases it is often unclear whether it refers to quality or purity)",,,adj.,,,,,,,,,,,,,
Fiole,fiolle | phiole,,vial,,,n.(f),,,,,,,,,p044v_3,,,,
Flambeau,,,torch,,,n.(m),COT1611,,,,,,,,p021r_2,,,,
Flasque,,,powder box,,,n.(f),COT1611,,,,,,,,p025,,,,
Fletrir,,,to wither,,,v.,COT1611,,,,,,,,,,,,
Fleur,,1,flower (the whole plant or the bloom),,,n.(f),,,,,,,,154v,,,,,
Fleur,,2,grain (of leather),,,,COT1611,,,,,,,,,,,,
Flin,felin,,"Meaning uncertain, possibly ""a thunder-stone, a kind of stone wherewith Cutlers furbish their blades” (Cotgrave)",,,n.(m),COT1611,,,,,bâton à félinder,,"94v, 95r.",,,,,x
Florée,fleuree | floree | florry | flouret | froury,,Florey (Indigo pigment from the dark blue foam and scum on the surface of the woad or indigo dyeing vat),,,n.(f),COT1611 | kirby2010 | OED2008,,,,,fleuree,,,,,,,
Foeillet,,,leaf (folio or page),,feuillet,n.(m),,,,,,,,162r,,,,,
Foeillages,,,,,,,,,,,,,,,,,,,
Foeu,feu,,fire,,feu,n.(m),,,,,,,,,,,,,
Foeu artificiel,,,artificial fire; perhaps fireworks,,,n.(m),,,,,,,,,p021r_2,,,,
Foeu de chasse,,,"violent fire (fire that is blown up into live flames, e.g. by opening all the flues of a furnace)",,feu de chasse,n.(m),furetiere1687 | delaulne1721,http://books.google.com/books?id=KIQ-AAAAcAAJ&pg=PT855&lpg=PT855&dq=%22feu+de+chasse%22&source=bl&ots=WOV6YMWjre&sig=WzowcyPED8hrwW5DrDKJiM5fDtQ&hl=fr&sa=X&ei=v-ieU6OOO_TNsQSY1oKwDg&ved=0CDAQ6AEwAzgU#v=onepage&q=%22feu%20de%20chasse%22&f=false,,,,chasse,,,,,,,
Foeu de flamme,,,open flame,,,n.(m),,,,,,,,,,,,,
Foeuille,,1,"leaf, petal (of a plant)",,feuille,n.(f),,,,,,,,,,,,,
Foeuille,,2,"foil, foil backing (jewellery)",,feuille,n.(f),whalley2012,https://doi.org/10.1179/2047058412Y.0000000041,,,,,,,,,,,
Follet,,,capricious,,,adj.,,,,,,,,124r and 129v,,,,,
Fondre,,1,to melt,,,v.,,,,,,,,,,,,,
Fondre,,2,to found (e.g. a cannon),,,v.,,,,,,,,,,,,,
Fonds,,,depth (of a color),,,n.(m),COT1611,,,,,,,,,,,,
Fonge,,,mushroom,,,n.(m),COT1611,,,,,,,,,,,,
Fontanier,,,fountain maker,,,n.(m),,,,,,,,,,,,,
Fonte,,1,melting (the process),,,n.(f),,,,,,,,,,,,,
Fonte,,2,"founding (the process, e.g. of founding a cannon)",,,n.(f),,,,,,,,17v,,,,,
Fonte,,3,the melt (of metals or glass),,,n.(f),,,,,,,,,,,,,
Foret,,,borer (a boring tool larger than a gimlet),,,n.(m),,,,,,,,,p025v_1,,,,
Foreter,,,to bore,,,v.,,,,,,,,,,,,,
Forge des orfevres ,,,goldsmiths' forge,,,n.(f),,,,,,,,,,,,,
Forme,,1,mold,,,n.(f),,,,,,,,63r,,,,,
Forme,,2,method,,,n.(f),,,,,,,,"82v, 83v",,,,,
Fornaise,fournaise,,"a very hot furnace, or kiln",,fournasie,n.(f),,,,,,,,,,,,,
Fosse,,,pit,,,n.(f),,,,,,,,,,,,,
Four,,1,"oven (baking, cooking etc.)",,,n.(m),,,,,,fourneau,,,,,,(four and fourneau seem to be used interchangeably),
Four,,2,"furnace (distillation, metalwork etc.)",,,,,,,,,,,,,,,,
Four à reverberation,,,"reverberatory furnace (using reflected heat, with the fire separated from the hearth; the chamber can reach very high temperatures without the material catching fire)",,,n.(m),,,,,,,,102r,,,,,
Four à vents,fourneau à vent,,"furnace fanned by the wind, as opposed to a <i>four a souflets</i> (bellows furnace)",,,n.(m),,,,,,,,40v and 87r,,,,,
Fourbisseur,,,"furbisher (sword-cutler, one who assembles and furbishes swords)",,,n.(m),DAF2018,,,fourbisseur,,,,,,,,,
Fourneau,,1,"oven (baking, cooking etc.)",,,n.(m),,,,,,four,,,,,,(four and fourneau seem to be used interchangeably),
Fourneau,,2,"furnace (distillation, metalwork etc.)",,,n.(m),,,,,,,,,,,,,
Fours de barbiers,,,possibly barbers' oven (used for heating towels),,,n.(m),,,,,,,,,,,,,
Fouyer,foyer,,hearth (of a fireplace),,foyer,n.(m),COT1611,,,,,,,,,,,,
Frais,fraische | fresche,,fresh,,frais | fraîche,adj.,,,,,,,,,,,,,
Fraiser,fraser,,"to pill (i.e. to remove the husk or shell of beans, grains, etc.)",,,v.,COT1611 | DMF,,,,,,,,,,,,
Frangible,,,"frangible, breakable",,,v.,COT1611,,,,,,,,,,,,
"Fresc, à",,,in fresco,,,advp.,TLFi2019,,,,,,,,p058v_3,,,,
Fresil,,,"fresil (on 94v, the author-practitioner defines this as <i>ceste escaille de fer tombant a la
forge des mareschaulx</i> ""the iron scale falling at the farriers' forge"")",,,n.(m),,,,,,,,,,,,,
Fronssé,,,puckered,,froncé,adj.,COT1611,,,,,,,,,,,,
Fumer,,,to smoke,,,v.,,,,,,parfumer,,49r,,,,,
Fusil,,,fire-steel,,,n.(m),COT1611,,,,,,,,,,,,
Fusion,fuzion,1,"fusion, i.e., melting of glass or metal at very high heat",,,n.(f),,,,,,fondre,,"68r, 68v",,,,,
Fust,,,stock,,fût,n.(m),COT1611,,,,,,,,,,,,
Fustée,,,"a tool for furbishing (i.e., polishing and removing rust from sword blades)",,,n.(m),,,,,,,,"(94r, 94v",,,,,
Fustet,,,fustet (a subspecies of sumac tree whose yellowish wood is used for medicines and dyes),,,n.(m),littre1873,,,,,,,,,,,,
Gabion,,,gabion (a large basket-like container filled with rocks and used as protection for gunners),,,n.(m),COT1611,,,,,,,,,,,,
Gaillardise,gaillardisse,,"lustiness, liveliness, cheerfulness",,,n.(f),COT1611,,,,,,,49v,,,,"Decision to leave glossary as usual definition and use ed comment c_049v_06 to address the bird disease, per issue 650",
Gainier,,,sheath maker,,,n.(m),OED2008 | godefroy1971 | palsgrave2003,,,,,,,57v,,,,,
Galipot,,,"galipot, or the turpentine or resin which exudes from, and hardens upon, the stem of certain pines. Not to be confused with the English “gallipot”—a vessel used in alchemy)",,,n.(m),OED2008,,,,,,,,,,,,
Galle,,,mange (of dogs),,gale,n.(f),,,,,,,,,,,,,
Garance,,,madder (plant source of a red dye and pigment),,,n.(f),COT1611 | littre1873,,,,,,,76r,,,,,
Garde,,,guard (part of a sword hilt),,,n.(f),,,,,,,,,,,,,
Garnir,,,to furnish,,,v.,COT1611,,,,,,,25r,,,,,
Garrigue,,,scrublands of southern France,,,n.(fpl),,,,,,,,,,,,,
Garson,,,boy (assistant),,garçon,n.(m),,,,,,,,,,,,,
Gason,,,clod,,gazon,n.(m),,,,,,,,,,,,,
Gaster,,,to spoil,,gâter,v.,COT1611,,,,,,,,p094r_1,,,,
Gaulde,,,weld,,gaude,n.(f),DMF2015 | OED2008,,,,,,,,056r_1,,,,
Gay,,,bright (of colors),,gai,adj.,COT1611,,,,,,,,,,,,
Gayac,,,guaiac,,gaïac,n.(m),,,,,,,,,,,,,
Gect,,1,"casting, cast",,jet,n.(m),,,,,,,,"114v, 124v",,,,,
Gect,,2,"gate (in casting, the opening in the mold into which the molten metal is poured)",,,n.(m),,,,,,,,,,,,,
Gecter,,,"to cast, to throw",,jeter,v.,,,,,,,,,,,,,
Gemme,,,resin,,,n.(f),DMF2015 | COT1611,,,,,,,"87v, 44v",,,,,
Genest,,,broom (the plant),,,n.(m),COT1611,,,,,,,,,,,,
"Gentil, gentille",,,nice,,,adj.,,,,,,,,,,,,,
Gentilesse,,,conceits (of mirrors and magic tricks),,gentillesse,n.(f),COT1611,,,,,,,"5r, 36r",,,,,
Geyet,geyct | jayet | jaiet,,"jet (a hard black variety of coal that takes a brilliant polish and is used for jewellery, ornaments, etc.)",,jais,n.(m),,,ann_042_sp_16,,,,,,,,,,
Gibessiere,,,pouch,,,n.(f),COT1611,,,,,,,,,,,,
Gibessiere de maistre Gonin,,,conjurer's pouch,,,n.(f),,,,,,Gonin,,,,,,,
Gip,,,a type of plaster,,gypse,n.(m),,,,,,,,,p161r_1,,,,
Glacer,,,"to glaze (with oil paint, to achieve a glassy surface)",,,v.,,,"""red enamel annotation"" – is that the rouge clair one?",,,,,,,,,,
Glaire d'oeuf,,,"egg glair (egg white, often beaten with water and strained, used as a pigment binder)",,,n.(f),furetiere1687,,,,,,,,,,,,
Glebes,,,clods of earth,,glèbes,n.(fpl),,,,,,,,,,,,,
Godet,,,"a vessel; according to Cotgrave, an earthenware bowl, cup, or jub",,,n.(m),COT1611,,,,,,,,,,,,
Gommé,,,gummed (thickened with gum),,,adj.,COT1611,,,,,,,,,,,,
Gomme armoniac,,,"gum ammoniac (also known as “ammoniac gum” or <i>ammoniacum</i>. A complex gum/oil/resin mixture obtained from the stems of carrot family plant, <i>dorema ammoniacum</i>, native to Iran and India)",,gomme ammoniaque,n.(f),COT1611 | kirby2010 | CAMEO,,,,,,,,,,,,
Gomme dragant,,,tragacanth gum (a natural gum obtained from the dried sap of several species of Middle Eastern legumes of the <i>genus Astragalus</i>),,,,OED2008,,,,,,,,,,,,
"Gonin, Maistre",Gonin,,conjuror,,,n.(m),,,,,,,,,,,,,
Gouge,couge,,gouge,,,n.(f),,,,,,,,,,,,,
Goumiche,,,"Meaning uncertain, possibly lower quality gum (gomme + -iche, suffix for lower quality)",,,n.(f),,,,,,,,,,,,,x
Grain,,,a unit of measurement,,,n.(m),DMF2015,,,,,,,,,,,,
Grais,gres,,"According to Cotgrave, grais/grès means either 1) a kind of stone used for paving and (in powder form) for polishing; or 2) a particular type of potters' clay or earth for making stoneware vessels as well as the stoneware vessels themselves. In the context of the manuscript, this material is used to make crucibles and molds for tin casting, and so it is more likely a stone (perhaps similar to schist or sandstone) which was used by pewterers for casting dishes. See nadolski1986",,grès,n.(m),COT1611 | OED2008,,,,,,,,,,,,
Grands metaulx,,,"great metals (unclear which metals this refers to:  on fol. 32v, the author-practitioner lists gold, silver, copper, latten, and iron, but on fol. 134v writes of the casting of gold, and on fol. 156r, of lead “and the other great metals"").",,grands métaux,n.(mpl),OED2008,,,,,"metaulx, grands",,,,,,,
Gras,grasse | grace,,"fatty (soft, malleable, or rich, according to material or context)",,,adj.,,,,,aride,,,,,,,,
Gratteau,grateau,,"From the verb <i>gratter</i> (to scratch), the name of a steel tool used by a sword furbisher to polish and sharpen the sword blade",,,n.(m),,,,,,,,"94v, 95r",,,,,
Grattebroisse,,,"scratch-brush (either a large wire brush or a small, pencil-shaped brush now commonly used in clockmaking)",,gratte-brosse,n.(f),,,,,,,,159v,,,,,
Grattebroisser,,,to rub with a scratch-brush,,,v.,,,,,,,,156r,,,,,
Grave,,,dense,,,adj.,,,,,,,,106v.,,,,,
Gravelle,,,small gravel,,,n.(f),COT1611,,,,,,,,,,,,
Graver,,1,to engrave (with a burin),,,v.,,,,,,,,,,,,,
Graver,,2,to etch (with a corrosive),,,v.,,,,,,,,,p139v_1,,,,
Greffer,,,to graft,,,v.,,,,enter,,,,,,,,,
Grille,,1,"a type of tin ingot. In this manuscript, it is described as smaller, more processed, and more convenient to sell than the <i>saulmon</i>.",,,n.(f),savary1741 ,,,,,saulmon | latte,,"28v, 48v, 92r",p028v_1 | p048v_2 | p092r_2,,,,x
Grille,,2,grate (in a furnace or similar),,,n.(f),,,,,,,,,,,,,
Gripper,,,"to grip, to stick, to take hold",,,v.,,,,,,,,"3r, 66r,",,,,,
Gris,,,"name given to several species of squirrel and, by extension, to their fur",,petit-gris,n.(m),,,,,,,,,p066v_4,,,,
Gris d’escailles,,,"a grey pigment, probably made from blacksmiths' iron scale",,,n.(m),,,,,,noir d'escaille,,,,,,,
"Gros, grosse",,1,"coarse, thick, large (of sand, cloth etc.)",,,adj.,COT1611 ,,,,,,,,,,,,
"Gros, grosse",,2,crude (of metals),,,adj.,,,,,,,,,,,,,
Grosserie,,,"large wares (grosserie in this period often also referred to work done in bulk (see Littré), but this is not what seems to be implied in the ms. See also Cennini's use of grosseria as opposed to minuteria, suggesting large wares as opposed to small delicate ones. Cennini’s translator Ashbee: “metal work of the larger sort, as opposed to minuteria. Our term, hammered hollow ware, would partly express it. It mainly included the beating of large vessels into shapes, but it did not exclude the processes of casting.”)
",,,n.(f),grandjean1962 | littre1873,,,,,,,,,,,,
Grosset,,,"thickish, largeish",,,adj.,,,,,,,,,,,,,
Grosseur,,,size,,,n.(f),,,,,,,,,,,,,
Grossier,,,"coarse, crude (e.g. of turpentine)",,,adj.,,,,,,,,3v,,,,,
Grumeleure,,,lump,,grumelure,n.(f),"COT1611 ""grommeleux""",,,,,,,,,,,,
Grumeleux,,,"lumpy, mottled",,,adj.,"COT1611 ""grommeleux""",,,,,,,,,,,,
Guarite,,,garret,,garite,n.(f),OED2008,,,,,,,,p024v_1,,,,
Guarite,,,garret,,garite,n.(f),OED2008,,,,,,,,p024v_1,,,,
Guesde,guesdre,,"guede woad (as distinct from <i>pastel</i> or ""pastel woad""; it is unclear whether the author means the two terms to be entirely synonymous. Cotgrave: “Many of the French dyers call the courser sort of stuffe Guesde, and the finer Pastel; most writers confound them.”",,guède,n.(f),COT1611,,,,,pastel,,,,,,,
Gueule,,1,mouth (of snakes and other animals),,,n.(f),,,,,,,,,,,,,
Gueule,,2,"muzzle (of a gun, to distinguish from <i>bouche</i>)",,,,,,,,,,,,,,,,
Gueuse,,,"pig (in metalwork, a large ingot of iron cast straight from the blast furnace. In English, the term ""pig"" is still widely used and includes iron and nonferrous materials cast into sand or metal moulds provided that it is intended for remelting before use. In French ""gueuse"" is restricted to virgin iron.)",German,,n.(f),DAF2018 | quebec2000,http://gdt.oqlf.gouv.qc.ca/ficheOqlf.aspx?Id_Fiche=17027236,,,,,,,,,,,
Guimbelet,,,"gimlet (a small tool with a screw point, grooved shank, and cross handle for boring holes)",,gibelet,n.(m),COT1611 | MW,,,,,,,,,,,,
Guindole,,,jujube,,guindolle,n.(f),COT1611,,,,,,,1v,,,,,
Halebarde,,,halberd,,hallebarde,n.(f),,,,,,,,,,,,,
Halidade,,,"alidade (pivoted sight or pointer, typically part of an astrolabe)",,alidade,n.(f),OED2008,,,,,,,,,,,,
Haquebute,,,"hackbut (used interchangeably with ""arquebus"" in the period. Cotgrave also has “caliver”, which is a small smooth-bore long firearm)",,,n.(f),COT1611,,,,,,,,p044r_1,,,,
Harquebus,haquebute,,arquebus,,harquebuse,n.(f),OED2008,,,,,,,,p024r_1,,,,
Harquebus à croc,haquebute à croc,,"arquebus à croc, or wall gun (a gun with a hook preventing the recoil by steadying it on a wall or battlement)",,arquebuse à croc,n.(f),OED2008,,,,,,,,,,,,
Harquebus de chasse,,,fowling piece (a type of arquebus),,,n.(f),COT1611,,,,,,,,,,,,
Haulte taincture,,,deep tincture,,,n.(f),,,,,,,,,,,,,
Hausse,,,elevation,,,n.(f),COT1611,,,,,,,,p021r_1,,,,
Hausser,,,to elevate,,,n.(f),COT1611,,,,,,,,p021r_1,,,,
Havets,,,chaff,Occitan,àbets,n.(mpl),,http://www.etymologie-occitane.fr/2011/06/abes-abet/,,,,,,37v,,,,,
Hieble,,,wallwort,,,n. (m),COT1611,,,,,,,,,,,,
Histoire,,,"history (in painting, i.e., narrative painting)",,,n.(f),,,,,,,,"p031v, 39v, 57v, also 64v",,,,,
Hoqueton,,,haqueton (a now obsolete English term designating a jerkin or plated leather jacket),,,n.(m),OED2008 | nicot1606,https://artflsrv03.uchicago.edu/philologic4/publicdicos/query?report=concordance&head=&q=hoqueton&start=0&end=0,,,,,,,,,,,
Horlogeur,,,clockmaker,,,n.(m),COT1611,,,,,,,p082r,,,,,
Huchau,,,"Meaning uncertain, perhaps or strong-box or coffer. On 163r, it refers to a specific quantity of amber, possibly a coffer's worth",,,n.(m),DMF2015 | DMLBS (Dictionary of Medieval Latin from British Sources) | Ducange,,,,,,,,,,,,x
Huile d’aspic,,,spike lavender oil,,,n.(f),,,,,,,,,,,,,
Huile de ben,,,"Ben oil (derived from the Moringa tree), an aromatic used in perfume",,,n.(f),COT1611 | DMF2015,,,,,,,163r,,,,,
Huile de chenevi,huile de chenevis,,hempseed oil,,huile de chanvre,n.(f),,,,,,,,,,,,,
Huile de froment ,,,wheat oil,,,n.(f),estienne1658 | estienne1616,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10165010_00357.html?contextType=scan&contextSort=score%2Cdescending&contextRows=10&contextStart=10&context=huile,,,,,,,,,,,
Huile de soufre,,,oil of sulfur (vitriol or sulfuric acid),,,n.(f),,http://cameo.mfa.org/wiki/Vitriol | http://cameo.mfa.org/wiki/Sulfuric_acid,,,,,,,,,,,
Huile gras,,,fatty oil,,,n.(f),,,,,,,,,,,,,
Huile tingente,,.,"Unidentified substance that is added to molten metals to make them run more fluidly through a mold, and also causes them to change color (hence perhaps its name, literally ""tinting oil"")",,,n. (f.),,,,,,,,,,,,,
Humecter,,,to moisten,,,v.,COT1611,,,,,,,,p041v_3,,,,
Humidité,,,"humidity, dampness, moisture",,,n.(f),,,,,,,,,,,,,
Ignition,,1,firing,,,n.(f),COT1611 ,,,,,,,,,,,,
Ignition,,2,state of being red-hot,,,n.(f),,,,,,,,,,,,,
Imiter,,,"to imitate (the author-practitioner apparently distinguishes between <i>imiter</i> and <i>contrefaire</i>, with <i>imiter</i> meaning to make a representation of something (a thing or scene), and <i>contrefaire</i> to mimic a (valuable) material in (more available) materials, such as <i>coral contrefaict</i> and <i>jaspe contrefaict<i>)",,,v.,,,,,,contrefaire,,,,,,,
Immundice,,,impurities,,, n.(f),COT1611 | DMF2015,,,,,,,,,,,,
Impalpable,,,impalpable (used in casting as a technical term for a powder ground so fine that no grit can be sensed when rubbing it between the fingers),,,adj.,biringuccio1540,,,,,,,,,,,,
Impression,,1,impression,,, n.(f),,,,,,,,,,,,,
Impression,,2,printing,,,,,,,,,,,,,,,,
Impression,,3,"imprimatura, i.e., OED: :a thin priming or ground, frequently coloured, applied to an artist's canvas or panel"" (painting)",,,,OED,,,,,,,,p056r_1 | p060r_1 | p060r_2 | p060v_5 | p061v_3 | p062r_4 | p062v_1 | p065v_1 | p065v_7,,,,
Incarnadine,,,"a shade of red (Cotgrave: ""a deep, rich, or bright carnation"")",,,adj.,COT1611 | DMF2015,,,,,,,,,,,,
Incontinent,,,quickly,,,adj.,,,,,,,,,,,,,
Inhonorificabilitidinitatudinibus,,,"a literary word, essentially meaning ""dishonourableness."" Similar word ""honorificabilitudinitatibus"" used in <i>Shakespeare’s Love Labours Lost</i> (Act V, Scene I) and many other sources. Also found in dictionaries from the late 15th/16thc. Although the trick is in Jean Prevost (54v-56v), he does not use this term.",,,,shakespeare1906,,,,,,,,,,,,
Injection,,,"injection (not necessarily intravenous injection, but any administration of liquid medicine into any part of the body, e.g. enemas, etc.)",,,,COT1611,,,,,,,,,,,,
Irois (les),,,the Irish,,Irlandais,n.(mpl),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jacinthe orientale,,,"oriental jacinth, e.g., in ""<i>Pierre pretieuse, qui par son feu semble tenir du rubis. Elle en differe pourtant en ce que sa couleur est moins chargée; elle ressemble aussi à l’Amethyste, tirant quelque peu sur le violet. (...) Toutes ces sortes de Pierres sont Orientales, apportées de Cananor, Calecut ou Cambaïe.</i>""",,,n.(f),corneille1694 ,,,,,,,,,,,,
Jarus,,,arum (<i>Arum maculatum</i>),,,n.(m),COT1611,,,,,pied de veau,,35v,,,,,
Jaulne d'oeuf,,,egg yolk,,jaune d'oeuf,n.(m),,,,,,,,,,,,,
Jeux Floraux,,,"Floral Games, a poetry competition in Renaissance Toulouse, in which lifecast flowers were given as prizes",,,n.(mpl),,,,,,,,,,,,,
Joincture,Jointure,,joining,,,n.(f),COT1611,,,,,,,,,,,,
Jointée,joinctée,,double handful (the amount that can be cupped in two hands),,,n.(f),,,,,,,,4v,56r_1,,,,
Jour naturel,,,"a natural day (24 hours). In contrast to a jour artificiel (a tradesman’s day from sunrise to sunset), or jour civil (also 24 hours, but starting according to the custom of the place or nation)",,,n.(m),COT1611,,,,,,,,,,,,
Jour,,,light (in painting),,,n.(m),,,,,,,,,,,,,
"Jour, à",,,"Having perforations or holes, pierced; spec. designating an ornamental openwork pattern",,,adj.,OED2008,,,,,,,,,,,,
"K, vieulx",,,"Likely an abbreviation for a coin such as the ""Carolus,"" a base silver coin marked with a letter K, or the German Kreuzer which was abbreviated K and made of silver-copper alloy up until the seventeenth century. The term <i>vieulx K.</i> (""old K."") occurs twice in the manuscript (fols. 86v and 147v), and both instances are associated with a silver-copper alloy. ",,,n.(m),diderot2017,https://de.wikipedia.org/wiki/Kreuzer_(Münze),,,,,,,,,,,x
Laicton,latton | leton | letton,,"latten (a copper alloy, containing tin, zinc, and sometimes lead). While often assumed to be identical to ""brass"" today, in early modern Europe the precise composition of the copper alloys, such as laiton, latten, brass, and bronze, was not fixed, nor was latten necessarily considered an alloy separate from (or inferior to) bronze",,laiton,n.(m),,,,,,,,"7r, 8v, 15r, 36v, 40v, 47v, 48v 49r, 67v, 69r-v, 70r-v, 72r, 81v, 82r, 83v, 86r-v, 87r.",,,,,
Laiton de potin,,,"potin latten (presumably latten made with potin, an alloy of copper and tin, usually with lead and zinc, used by ancient Celtic peoples for making coins)",,,n.(m),OED2008,,,,,,,,,,,,
Lame,,1,blade,,lame,n.(f),,,,,,,,,p032r_1,,,,
Lame,,2,"plate (of metal. In plated armor, overlapping plates or bands connected by rivets or internal leathers to achieve articulation)",,,,,,,,,,,,,,,,
Lame,,3,reed (part of a loom),,,,COT1611 | DMF2015,,,,,,,,p044v_1,,,,
Lamine,,,"sheet (of metal, thinner and/or smaller than a <i>lame</i> or ""plate"")",,,n.(f),COT1611 | DMF2015,,,,,,,,,,,,
Lanterne,,1,lantern,,,n.(f),,,,,,,,,,,,,
Lanterne,,2,(tool used to charge guns or the equivalent measure of powder),,,,OED2008 | landolt1865,https://books.google.fr/books?id=zYMsxPPqz1gC&pg=PA118&dq=laddle+artillery&hl=fr&sa=X&ved=0ahUKEwiu1r262JncAhXEXBQKHX_xDcwQ6AEIKjAA#v=onepage&q=laddle%20artillery&f=false,,,,,,,P017r_1,,,,
Lapasse,,,"burdock (likely the genus <i>Arctium</i>, previously called <i>Lappa</i>)",,,n.(f),tournefort1694,,,,,,,,,,,,
Lapathium acutum,Lapathum acutum,,"narrow-leaved dock or sorrel, <i>Rumex acetosa</i>",,,n.(m),,,,,,,,,,,,,
Lapidée,,,stony,,,adj.,,,,,,,,,,,,,
Laque,,,"lake (pigment produced by a lake process; usually a red one. From <i>lac</i>, a red colorant made from a variety of organic materials)",,,n.(f),,,,,,,,,,,,,
Laque platte,,,"dried lake pigment, formed into a flat shape for storage and sale",,,n.(f),,,,,,,,,,,,,
Laque ronde,,,"dried lake pigment, shaped into round beads for storage and sale",,,n.(f),,,,,,,,,,,,,
Large (au),,,"loose, with space",,,advp.,richelet1680,,,,,,,127r,,,,,
Larme,,,tear (of resin or similar materials),,,n.(f),,,,,,,,,,,,,
Latte,,,"a type of lead ingot. In this manuscript, it is appears to be smaller, more processed, and more convenient to sell than the <i>saulmon</i>, a large ingot or mass of unprocessed metal straight from the furnace.",,,,savary1741,,,,,,,30r,,,,,
Laver,,,"to wash (for pigments, this refers to a process now known as levigation)",,,v.,,,,,,saulmon | grille,,,,,,,
Laveure,,1,"wash water, washings (e.g. of paintbrushes)",,lavure,n.(f),,,,,,,,,,,,,
Laveure,,2,"residue (of gold or silver, recovered from ashes, sweepings, and crucibles in a goldsmith's workshop)",,,,COT1611,,,,,,,,,,,,
Lesard,lezard ,,lizard,,lézard,n.(m),,,,,,,,,,,,,
Lesarde,lezarde,,female lizard; usually qualified as being small,,lézarde,n.(f),,,,,,,,,,,,,
Lesion,,,"harm, lesion",,lésion,n.(f),,,,,,,,139r,,,,,
Lessive,lexive,,lye,,lessive,n.(f),COT1611,,,,,,,,,,,,
Liaison,,,bond,,,n.(f),,,,,,,,161v,,,,,
Liard,liart,1,liard (small coin),,liard,n.(m),COT1611 | OED2008 ,,,,,ardides,,,,,,,
Liard,,2,a liard's worth (quantity of material),,,,,,,,,,,,,,,,
Lie de vin,lye de vin,,wine lees,,,n.(f),COT1611,,,,,,,,p076v_4,,,,
Lien,,1,bundle (a quantity of glass for sale),,,n.(m),,,,,,,,134v,,,,,
Lien,,2,binding (e.g. for binding together molds),,,,,,,,,,,,,,,,
Lieue,,,league (c. two miles),,,n.(f),COT1611,,,,,,,,,,,,
Ligne,,,line (often a measurement; Cotgrave says a twelfth of an inch; in the ms on fol. 22r it is defined as a twelfth of a king's foot),,,n.(f),COT1611 | OED2008,,,,,,,"22r, 22v",,,,,
Ligne de plomb,,,plumb line,,,n.(f),OED2008,,,,,,,,,,,,
Ligue,,,alloy,,,n.(f),,,,,,,,,,,,,
Limaille,,,filings,,,n.(f),COT1611,,,,,,,,,,,,
Lime,,,file,,,n.(f),,,,,,,,"159v, 67v",,,,,
Lime doulce,,,soft file (for polishing iron),,,n.(f),DAF2018,,,,,,,,,,,,
