 pastel woad flowers|001r||p001r_1
 earth with which they make the first layer of the chappe of pieces, & bells, & all other pieces|085v|Founder|p085v_1
 glair|085v|Founder|p085v_1
 glair|085v|Founder|p085v_1
 Rosette|085v|Founder|p085v_1
 lead|085v|Founder|p085v_1
 rosette|085v|Founder|p085v_1
 copper for cauldrons|085v|Mortars|p085v_2
 rosette|085v|Mortars|p085v_2
 fine copper|085v|Mortars|p085v_2
 metal|085v|Mortars|p085v_2
 metal|085v|Mortars|p085v_2
 fine metal|085v|Mortars|p085v_2
 Sand from the mine|085v|Sand from the mine|p085v_3
 great metals|085v|Sand from the mine|p085v_3
 porphyry|085v|Sand from the mine|p085v_3
 asphaltum|085v|Sand from the mine|p085v_3
 tripoly|085v|Sand from the mine|p085v_3
 burned felt|085v|Sand from the mine|p085v_3
 Experimented sands|085v|Experimented sands|p085v_4
 sand from Thoulouse|085v|Experimented sands|p085v_4
 porphyry|085v|Experimented sands|p085v_4
 wine boiled with elm root|085v|Experimented sands|p085v_4
 Sand from the mine|085v|Experimented sands|p085v_4
 metals|085v|Experimented sands|p085v_4
 substance of a skillet|086r||p085v_4
 potin|086r||p085v_4
 charcoals|086r||p085v_4
 potin|086r||p085v_4
 substance of skillet|086r||p085v_4
 sand|086r||p085v_4
 bone of oxen feet, burned, pulverized|086r||p085v_4
 glair of egg|086r||p085v_4
 wine boiled with elm root|086r||p085v_4
 bone sand|086r||p085v_4
 pulverised bone|086r||p085v_4
 substance of skillet|086r||p085v_4
 sand|086r||p085v_4
 ceruse|086r||p085v_4
 areneux|086r||p085v_4
 metal|086r||p085v_4
 sand|086r||p085v_4
 metal|086r||p085v_4
 lead|086r||p085v_4
 copper|086r||p085v_4
 latten|086r||p085v_4
 great metals|086r||p085v_4
 lute|086r||p085v_4
 metal|086r||p085v_4
 iron|086r||p085v_4
 metal|086r||p085v_4
 bone|086r||p085v_4
 sand|086v||p085v_4
 metal|086v||p085v_4
 card|086v||p085v_4
 paper|086v||p085v_4
 Excellent sand for lead, tin and copper|086v|Excellent sand for lead, tin and copper|p086v_1
 lead|086v|Excellent sand for lead, tin and copper|p086v_1
 tin|086v|Excellent sand for lead, tin and copper|p086v_1
 copper|086v|Excellent sand for lead, tin and copper|p086v_1
 burned bone|086v|Excellent sand for lead, tin and copper|p086v_1
 iron dross|086v|Excellent sand for lead, tin and copper|p086v_1
 burned felt|086v|Excellent sand for lead, tin and copper|p086v_1
 marble|086v|Excellent sand for lead, tin and copper|p086v_1
 beaten glair of egg|086v|Excellent sand for lead, tin and copper|p086v_1
 sand from the mine|086v|Excellent sand for lead, tin and copper|p086v_1
 copper|086v|Excellent sand for lead, tin and copper|p086v_1
 ☾|086v|Excellent sand for lead, tin and copper|p086v_1
 K|086v|Excellent sand for lead, tin and copper|p086v_1
 sand|086v|Excellent sand for lead, tin and copper|p086v_1
 soft lead|086v|Excellent sand for lead, tin and copper|p086v_1
 tin|086v|Excellent sand for lead, tin and copper|p086v_1
 Potin from seringue|086v|Excellent sand for lead, tin and copper|p086v_1
 fine latten|086v|Excellent sand for lead, tin and copper|p086v_1
 copper|086v|Excellent sand for lead, tin and copper|p086v_1
 latten|086v|Excellent sand for lead, tin and copper|p086v_1
 latten|087r||p086v_1
 copper|087r||p086v_1
 sand|087r||p086v_1
 sand|087r||p086v_1
 metal|087r||p086v_1
 carton|087r||p086v_1
 earth|087r||p086v_1
 fine casting sand|087r||p086v_1
 Sand from Thoulouse|087r|Sand from Thoulouse|p087r_1
 the one which is found in a vineyard near Puy David|087r|Sand from Thoulouse|p087r_1
 the one is from Le Touch, near Sainct Michel & towards Blagnac, in a vineyard that is quite high up|087r|Sand from Thoulouse|p087r_1
 slate|087v|Sand, slate, and burned earth|p087v_1
 burned earth|087v|Sand, slate, and burned earth|p087v_1
 Very burnt sand|087v|Sand, slate, and burned earth|p087v_1
 Slate|087v|Sand, slate, and burned earth|p087v_1
 burned earth|087v|Sand, slate, and burned earth|p087v_1
 fat sand|087v|Sand, slate, and burned earth|p087v_1
 very finely ground sands|087v|Sand, slate, and burned earth|p087v_1
 Magistra|087v|Magistra|p087v_2
 roots of a young elm|087v|Magistra|p087v_2
 wine|087v|Magistra|p087v_2
 vinegar|087v|Magistra|p087v_2
 Sand of the mine of Thoulouse|087v|Sand of the mine of Thoulouse|p087v_3
 Casting sand coming from the mine|087v|Sand of the mine of Thoulouse|p087v_3
 melted resin|087v|Sand of the mine of Thoulouse|p087v_3
 iron|087v|Sand of the mine of Thoulouse|p087v_3
 porphyry|087v|Sand of the mine of Thoulouse|p087v_3
 beaten glair of egg|087v|Sand of the mine of Thoulouse|p087v_3
 lead|087v|Sand of the mine of Thoulouse|p087v_3
 tin|087v|Sand of the mine of Thoulouse|p087v_3
 porphyry|087v|Sand of the mine of Thoulouse|p087v_3
 earth|087v|Sand of the mine of Thoulouse|p087v_3
 glair of egg passed through a sponge|087v|Sand of the mine of Thoulouse|p087v_3
 vinegar|087v|Sand of the mine of Thoulouse|p087v_3
 glair|087v|Sand of the mine of Thoulouse|p087v_3
 salt water|087v|Sand of the mine of Thoulouse|p087v_3
 wine|087v|Sand of the mine of Thoulouse|p087v_3
 sands|087v|Sand of the mine of Thoulouse|p087v_3
 earth|087v|Sand of the mine of Thoulouse|p087v_3
 rock|087v|Sand of the mine of Thoulouse|p087v_3
 pure lead|087v|Sand of the mine of Thoulouse|p087v_3
 vinegar|087v|Sand of the mine of Thoulouse|p087v_3
 Fine copper|088r|Mortars|p088r_2
 iron|088r|Mortars|p088r_2
 metal|088r|Mortars|p088r_2
 fine copper|088r|Mortars|p088r_2
 Varnish|088r|Varnish|p088r_3
 Turpentine oil|088r|Varnish|p088r_3
 turpentine|088r|Varnish|p088r_3
 good eau-de-vie|088r|Varnish|p088r_3
 Dust|088r|Baker|p088r_5
 ashes|088r|Baker|p088r_5
 wheat|088r|Baker|p088r_5
 rough cloth|088r|Baker|p088r_5
 canvas|088r|Baker|p088r_5
 ashes|088r|Baker|p088r_5
 wheat|088r|Baker|p088r_5
 Looking-glass tin|088r|Looking-glass tin|p088r_6
 Sand from pulverised rock salt|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 sand from the mine|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 marble|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 marble|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 porphyry|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 paper|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 marble|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 rock salt|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 salts|088v|Sand from pulverised rock salt and sand from the mine finely ground on marble|p088v_1
 Mineral sand|088v|Mineral sand|p088v_2
 rock|088v|Mineral sand|p088v_2
 water|088v|Mineral sand|p088v_2
 porphyry|088v|Mineral sand|p088v_2
 cloth waste|088v|Mineral sand|p088v_2
 lead|088v|Mineral sand|p088v_2
 copper|088v|Mineral sand|p088v_2
 fat sands|088v|Mineral sand|p088v_2
 metal|088v|Mineral sand|p088v_2
 artificial sands|088v|Mineral sand|p088v_2
 Orberé grain|088v|Mineral sand|p088v_2
 wheat flour|088v|Mineral sand|p088v_2
 Sand of burnt oxen bone and rock salt|089r|Sand of burnt oxen bone and rock salt|p089r_1
 porphyry|089r|Sand of burnt oxen bone and rock salt|p089r_1
 porphyry|089r|Sand of burnt oxen bone and rock salt|p089r_1
 paper|089r|Sand of burnt oxen bone and rock salt|p089r_1
 soft tin|089r|Sand of burnt oxen bone and rock salt|p089r_1
 tin|089r|Sand of burnt oxen bone and rock salt|p089r_1
 fine lead|089r|Sand of burnt oxen bone and rock salt|p089r_1
 tin|089r|Sand of burnt oxen bone and rock salt|p089r_1
 bone of the foot of oxen|089r|Sand of burnt oxen bone and rock salt|p089r_1
 fat sand|089r|Sand of burnt oxen bone and rock salt|p089r_1
 tripoli|089r|Sand of burnt oxen bone and rock salt|p089r_1
 salts|089r|Sand of burnt oxen bone and rock salt|p089r_1
 felt|089r|Sand of burnt oxen bone and rock salt|p089r_1
 ashes|089r|Sand of burnt oxen bone and rock salt|p089r_1
 Natural sand|089r|Natural sand|p089r_3
 lead|089r|Natural sand|p089r_3
 tin|089r|Natural sand|p089r_3
 Sal ammoniac|089v|Sal ammoniac and alabaster|p089v_1
 alabaster|089v|Sal ammoniac and alabaster|p089v_1
 Sal ammoniac, well pulverized|089v|Sal ammoniac and alabaster|p089v_1
 marble|089v|Sal ammoniac and alabaster|p089v_1
 alabaster, pulverized|089v|Sal ammoniac and alabaster|p089v_1
 alabaster|089v|Sal ammoniac and alabaster|p089v_1
 paper|089v|Sal ammoniac and alabaster|p089v_1
 salt|089v|Sal ammoniac and alabaster|p089v_1
 spike lavender oil|089v|Sal ammoniac and alabaster|p089v_1
 sal ammoniac|089v|Sal ammoniac and alabaster|p089v_1
 stone|089v|Sal ammoniac and alabaster|p089v_1
 Ammoniac|089v|Sal ammoniac and alabaster|p089v_1
 areneux|089v|Sal ammoniac and alabaster|p089v_1
 salts appropriate for metals|089v|Sal ammoniac and alabaster|p089v_1
 Glassmakers' white sand from the mine|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 sal ammoniac|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 sand, white mai, like salt, and lean|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 salt|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 porphyry|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 calcined alabaster|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 gummed or pure water|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 porphyry|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 mustard|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 oil either of olive, walnut, or even better spike lavender|089v|Glassmakers' white sand from the mine, mixed with sal ammoniac|p089v_2
 Sal ammoniac|090r|Sal ammoniac and iron dross|p090r_1
 iron dross|090r|Sal ammoniac and iron dross|p090r_1
 sal ammoniac|090r|Sal ammoniac and iron dross|p090r_1
 bronze|090r|Sal ammoniac and iron dross|p090r_1
 porphyry|090r|Sal ammoniac and iron dross|p090r_1
 pulverized & finely ground iron dross|090r|Sal ammoniac and iron dross|p090r_1
 crocum ferri|090r|Sand|p090r_2
 calcined slate|090r|Sand|p090r_2
 sands|090r|All sands can be rendered good|p090r_3
 sands|090r|All sands can be rendered good|p090r_3
 the one of the s mines|090r|All sands can be rendered good|p090r_3
 earth|090r|All sands can be rendered good|p090r_3
 arene|090r|All sands can be rendered good|p090r_3
 sand from a mine|090r|All sands can be rendered good|p090r_3
 water|090v||p090r_3
 water|090v||p090r_3
 porphyry|090v||p090r_3
 chalk|090v||p090r_3
 salts|090v||p090r_3
 linen, or burned felt|090v||p090r_3
 ashes of paper|090v||p090r_3
 Terre fondue of potters|090v|Terre fondue of potters|p090v_1
 water|090v|Terre fondue of potters|p090v_1
 salt water|090v|Terre fondue of potters|p090v_1
 sands|090v|Terre fondue of potters|p090v_1
 soil|090v|Orange trees|p090v_2
 cuttlefish bone|091r|Molding with cuttlefish bone|p091r_2
 bone|091r|Molding with cuttlefish bone|p091r_2
 rooftile|091r|Molding with cuttlefish bone|p091r_2
 pulverized willow charcoal|091r|Molding with cuttlefish bone|p091r_2
 bones|091r|Molding with cuttlefish bone|p091r_2
 willow charcoal|091r|Molding with cuttlefish bone|p091r_2
 brick|091r|Molding with cuttlefish bone|p091r_2
 bone|091r|Molding with cuttlefish bone|p091r_2
 bone|091r|Molding with cuttlefish bone|p091r_2
 willow charcoal|091r|Molding with cuttlefish bone|p091r_2
 bones|091r|Molding with cuttlefish bone|p091r_2
 metal|091r|Molding with cuttlefish bone|p091r_2
 metal|091r|Molding with cuttlefish bone|p091r_2
 bones|091r|Molding with cuttlefish bone|p091r_2
 lead|091r|Molding with cuttlefish bone|p091r_2
 bones|091v||p091r_2
 bones|091v||p091r_2
 wood|091v||p091r_2
 clay|091v||p091r_2
 bones|091v||p091r_2
 willow charcoal|091v||p091r_2
 oil|091v||p091r_2
 willow charcoal powder|091v||p091r_2
 oily|091v||p091r_2
 cuttlefish bone|091v||p091r_2
 bone|091v||p091r_2
 bone|091v||p091r_2
 bone|091v||p091r_2
 lead|091v||p091r_2
 tin|091v||p091r_2
 metal|091v||p091r_2
 Tin|091v||p091r_2
 bone|091v||p091r_2
 soft tin|092r|SandMixture easy to melt|p092r_1
 fine lead|092r|SandMixture easy to melt|p092r_1
 looking glass tin|092r|SandMixture easy to melt|p092r_1
 argent vif arresté|092r|SandMixture easy to melt|p092r_1
 solder|092r|SandMixture easy to melt|p092r_1
 fine tin|092r|SandMixture easy to melt|p092r_1
 fine tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 solder|092r|Molding hollow on one side and in relief on the other|p092r_2
 fine tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 lamp black|092r|Molding hollow on one side and in relief on the other|p092r_2
 water|092r|Molding hollow on one side and in relief on the other|p092r_2
 copper|092r|Molding hollow on one side and in relief on the other|p092r_2
 silver|092r|Molding hollow on one side and in relief on the other|p092r_2
 lead|092r|Molding hollow on one side and in relief on the other|p092r_2
 tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 Tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 Soft tin|092r|Molding hollow on one side and in relief on the other|p092r_2
 Potin|092r|Potin|p092r_3
 Potin|092r|Potin|p092r_3
 tin|092r|Potin|p092r_3
 verd|092r|Potin|p092r_3
 founder’s earth, which founders use|092r|Molding statues|p092r_4
 clay earth|092r|Molding statues|p092r_4
 Sand from river tellins and mussels|092v|Sand from river tellins and mussels|p092v_1
 shells|092v|Sand from river tellins and mussels|p092v_1
 impalpable white sand|092v|Sand from river tellins and mussels|p092v_1
 mercury|092v|Congealing mercury|p092v_2
 iron|092v|Congealing mercury|p092v_2
 ☿|092v|Congealing mercury|p092v_2
 verdet|092v|Congealing mercury|p092v_2
 vitriol of saltpetre|092v|Congealing mercury|p092v_2
 old water from farriers|092v|Congealing mercury|p092v_2
 tin|092v|Congealing mercury|p092v_2
 filth|092v|Congealing mercury|p092v_2
 ☿|092v|Congealing mercury|p092v_2
 tin|092v|Congealing mercury|p092v_2
 tin|092v|Congealing mercury|p092v_2
 ☿|092v|Congealing mercury|p092v_2
 tin|092v|Congealing mercury|p092v_2
 ☿|092v|Congealing mercury|p092v_2
 aquafortis|092v|Congealing mercury|p092v_2
 silver|092v|Congealing mercury|p092v_2
 tin|092v|Congealing mercury|p092v_2
 lead|092v|Congealing mercury|p092v_2
 Fine tin|092v|Mixture|p092v_3
 congealed mercury|092v|Mixture|p092v_3
 tin|092v|Mixture|p092v_3
 looking glass tin|092v|Mixture|p092v_3
 fine lead|092v|Mixture|p092v_3
 solder|092v|Mixture|p092v_3
 salt water|093r|Olives|p093r_1
 white ash of all woods|093r|Sand|p093r_4
 wood|093r|Sand|p093r_4
 Ashes|093r|Sand|p093r_5
 well pulverized tallow|093r|Sand|p093r_5
 Finely pulverized quicklime|093r|Sand|p093r_5
 flint|093r|Sand|p093r_5
 distemper|093v|Faces in distemper|p093v_1
 distemper|093v|Faces in distemper|p093v_1
 canvas|093v|Faces in distemper|p093v_1
 bistre|093v|Faces in distemper|p093v_1
 canvas|093v|Faces in distemper|p093v_1
 rust|093v|Faces in distemper|p093v_1
 bistre|093v|Faces in distemper|p093v_1
 distemper|093v|Faces in distemper|p093v_1
 oil|093v|Faces in distemper|p093v_1
 bistre|093v|Faces in distemper|p093v_1
 ocre de ru|093v|Faces in distemper|p093v_1
 sap green|093v|Faces in distemper|p093v_1
 bistre|093v|Faces in distemper|p093v_1
 marble|093v|Faces in distemper|p093v_1
 Azure|093v|Azure|p093v_2
 Azur d’esmail|093v|Azure|p093v_2
 filth|093v|Azure|p093v_2
 canvas|093v|Azure|p093v_2
 wood|093v|Azure|p093v_2
 Varnish|093v|Azure|p093v_2
 oil|093v|Azure|p093v_2
 lake|093v|Violet and lake|p093v_3
 azure|093v|Violet and lake|p093v_3
 lake|093v|Violet and lake|p093v_3
 polished knife|093v|Violet and lake|p093v_3
 glass|093v|Violet and lake|p093v_3
 iron|094r|Furbisher|p094r_1
 wood|094r|Furbisher|p094r_1
 glues|094r|Furbisher|p094r_1
 gummed wax|094r|Furbisher|p094r_1
 wax|094r|Furbisher|p094r_1
 pitch|094r|Furbisher|p094r_1
 resin|094r|Furbisher|p094r_1
 wood|094r|Furbisher|p094r_1
 thread|094r|Furbisher|p094r_1
 iron wire|094r|Furbisher|p094r_1
 dog skin|094r|Furbisher|p094r_1
 glue|094r|Furbisher|p094r_1
 wood|094r|Furbisher|p094r_1
 silk|094r|Furbisher|p094r_1
 thread|094r|Furbisher|p094r_1
 threads|094r|Furbisher|p094r_1
 silk|094r|Furbisher|p094r_1
 silk|094r|Furbisher|p094r_1
 silk|094r|Furbisher|p094r_1
 dogfish skin|094r|Furbisher|p094r_1
 annealed iron wire|094r|Furbisher|p094r_1
 threads of gold & of fine & false silve|094r|Furbisher|p094r_1
 velvet|094r|Furbisher|p094r_1
 Iron wire|094r|Furbisher|p094r_1
 silk|094r|Furbisher|p094r_1
 dog skin|094r|Furbisher|p094r_1
 skin|094r|Furbisher|p094r_1
 not quite lukewarm aquafortis|094r|Furbisher|p094r_1
 skin|094r|Furbisher|p094r_1
 black thread|094r|Furbisher|p094r_1
 gold|094v||p094r_1
 thin yellow canvas|094v||p094r_1
 canvas yellowed with chalk|094v||p094r_1
 canvas|094v||p094r_1
 glue|094v||p094r_1
 gum|094v||p094r_1
 thread|094v||p094r_1
 silk|094v||p094r_1
 threads|094v||p094r_1
 silver|094v||p094r_1
 silk|094v||p094r_1
 silk|094v||p094r_1
 fine gold|094v||p094r_1
 sage leaf|094v||p094r_1
 rowan|094v||p094r_1
 oil|094v||p094r_1
 emery|094v||p094r_1
 iron|094v||p094r_1
 very even steel, & well filed|094v||p094r_1
 stone|094v||p094r_1
 coux|094v||p094r_1
 bloodstone|094v||p094r_1
 boxwood|094v||p094r_1
 fresil|094v||p094r_1
 willow wood|094v||p094r_1
 fresil|094v||p094r_1
 iron scale|094v||p094r_1
 flin|094v||p094r_1
 thunder stone|094v||p094r_1
 better steel &iron|095r||p094r_1
 pulverized emery|095r||p094r_1
 flour|095r||p094r_1
 oil|095r||p094r_1
 emery|095r||p094r_1
 oil|095r||p094r_1
 oil|095r||p094r_1
 felin|095r||p094r_1
 thunderstone|095r||p094r_1
 felinder|095r||p094r_1
 felin|095r||p094r_1
 chalk|095r||p094r_1
 oil|095r||p094r_1
 dry chalk|095r||p094r_1
 wood|095r||p094r_1
 wood|095r||p094r_1
 wood|095r||p094r_1
 water|095v||p094r_1
 resin|095v||p094r_1
 glue|095v||p094r_1
 resin|095v||p094r_1
 pulverized resin|095v||p094r_1
 Pearled|095v||p094r_1
 wood|095v||p094r_1
 beech wood|095v||p094r_1
 wood|095v||p094r_1
 iron|095v||p094r_1
 wood|095v||p094r_1
 leather|096r||p094r_1
 black stone|096r||p094r_1
 leather|096r||p094r_1
 velvet|096r||p094r_1
 glued|096r||p094r_1
 tallow|096r||p094r_1
 calf or sheep leather|096r||p094r_1
 leather|096r||p094r_1
 flesh|096r||p094r_1
 boxwood|096r||p094r_1
 good calf skin|096r||p094r_1
 skin|096r||p094r_1
 lightly lukewarm water|096r||p094r_1
 wood|096r||p094r_1
 black thread|096r||p094r_1
 boxwood|096r||p094r_1
 oil|096r||p094r_1
 velvet|096r||p094r_1
 velvet|096r||p094r_1
 plain canvas|096r||p094r_1
 parchment|096r||p094r_1
 waxed|096r||p094r_1
 velvet|096r||p094r_1
 wood|096r||p094r_1
 thin canvas|096r||p094r_1
 waxes|096r||p094r_1
 velvet|096r||p094r_1
 waxed|096r||p094r_1
 sheep skin|096r||p094r_1
 ashes|096v|Grey guards|p096v_1
 ashes|096v|Grey guards|p096v_1
 ashes|096v|Grey guards|p096v_1
 hot charcoal|096v|Grey guards|p096v_1
 filth|096v|Grey guards|p096v_1
 ash|096v|Grey guards|p096v_1
 bloodstone|096v|Color of water|p096v_2
 bloodstone|096v|Color of water|p096v_2
 filth|096v|Color of water|p096v_2
 varnish|096v|Color of water|p096v_2
 Yellow varnish|096v|Yellow varnish|p096v_3
 walnut olive oil|096v|Yellow varnish|p096v_3
 charcoal|096v|Yellow varnish|p096v_3
 charcoal|096v|Yellow varnish|p096v_3
 ash|096v|Yellow varnish|p096v_3
 smoke|096v|Yellow varnish|p096v_3
 Black varnish|097r|Black varnish|p097r_1
 galipot|097r|Black varnish|p097r_1
 silver|097r|Gilding|p097r_2
 gold|097r|Gilding|p097r_2
 bloodstone|097r|Gilding|p097r_2
 pottée|097r|Gilding|p097r_2
 gold|097r|Gilding|p097r_2
 gold|097r|Gilding|p097r_2
 bloodstone|097r|Gilding|p097r_2
 ashes|097r|Gilding|p097r_2
 iron|097r|Gilding|p097r_2
 white linen cloth|097r|Gilding|p097r_2
 gold|097r|Gilding|p097r_2
 silver|097r|Gilding with silver|p097r_3
 gold|097r|Gilding with silver|p097r_3
 silver foil|097r|Gilding with silver|p097r_3
 silver|097r|Gilding with silver|p097r_3
 bloodstone|097r|Gilding with silver|p097r_3
 gold|097r|Gilding with silver|p097r_3
 Mastic varnish|097v|Mastic varnish dry in a half hour|p097v_1
 mastic|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine oil|097v|Mastic varnish dry in a half hour|p097v_1
 eau-de-vie|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine oil|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine|097v|Mastic varnish dry in a half hour|p097v_1
 eau-de-vie|097v|Mastic varnish dry in a half hour|p097v_1
 oil|097v|Mastic varnish dry in a half hour|p097v_1
 subtly ground mastic|097v|Mastic varnish dry in a half hour|p097v_1
 oil|097v|Mastic varnish dry in a half hour|p097v_1
 ashes|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine oil|097v|Mastic varnish dry in a half hour|p097v_1
 mastic|097v|Mastic varnish dry in a half hour|p097v_1
 filth|097v|Mastic varnish dry in a half hour|p097v_1
 mastic|097v|Mastic varnish dry in a half hour|p097v_1
 straws|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 oil|097v|Mastic varnish dry in a half hour|p097v_1
 mastic|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 oil|097v|Mastic varnish dry in a half hour|p097v_1
 water|097v|Mastic varnish dry in a half hour|p097v_1
 pulverized mastic|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 spike lavender|097v|Mastic varnish dry in a half hour|p097v_1
 turpentine oil|097v|Mastic varnish dry in a half hour|p097v_1
 spike lavender oil|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 varnish|097v|Mastic varnish dry in a half hour|p097v_1
 glass|097v|Painting on glass|p097v_2
 Varnish|098r|Varnish for lutes|p098r_1
 turpentine|098r|Varnish for lutes|p098r_1
 oil of turpentine or of spike lavender|098r|Varnish for lutes|p098r_1
 amber pulverized|098r|Varnish for lutes|p098r_1
 mastic|098r|Varnish for lutes|p098r_1
 dragon's blood|098r|Varnish for lutes|p098r_1
 terra merita|098r|Varnish for lutes|p098r_1
 iron|098r|Borders of a garden|p098r_2
 tin|098r|Locksmith|p098r_3
 vinegar|098r|Locksmith|p098r_3
 linen|098r|Locksmith|p098r_3
 resin|098r|Locksmith|p098r_3
 varnish|098r|Locksmith|p098r_3
 pure & fine tin|098r|Locksmith|p098r_3
 estamiere|098r|Locksmith|p098r_3
 iron|098r|Locksmith|p098r_3
 tin|098r|Locksmith|p098r_3
 resin|098r|Locksmith|p098r_3
 filth|098r|Locksmith|p098r_3
 iron|098r|Locksmith|p098r_3
 tin|098r|Locksmith|p098r_3
 tow|098r|Locksmith|p098r_3
 tinned|098r|Locksmith|p098r_3
 resin|098r|Locksmith|p098r_3
 tin|098r|Locksmith|p098r_3
 tin|098r|Locksmith|p098r_3
 tinned|098r|Locksmith|p098r_3
 tinning done in leaf|098r|Locksmith|p098r_3
 tin|098r|Locksmith|p098r_3
 tinning|098r|Locksmith|p098r_3
 sal ammoniac|098r|Locksmith|p098r_3
 brine|098v|Salted artichokes|p098v_2
 oil|098v|Salted artichokes|p098v_2
 vinegar|098v|Salted artichokes|p098v_2
 brine|098v|Salted artichokes|p098v_2
 egg|098v|Salted artichokes|p098v_2
 egg|098v|Salted artichokes|p098v_2
 fruits|098v|Salted artichokes|p098v_2
 down|098v|Birds|p098v_4
 hare skin|098v|Birds|p098v_4
 potée|098v|Fonte|p098v_5
 burnt earth|098v|Fonte|p098v_5
 earth bourre bolvene|098v|Fonte|p098v_5
 stone|098v|Fonte|p098v_5
 straw|098v|Fonte|p098v_5
 earth|098v|Fonte|p098v_5
 oiled|098v|Fonte|p098v_5
 Earth|099r||p098v_5
 sand|099r||p098v_5
 water|099r||p098v_5
 sand|099r||p098v_5
 Latten from a candlestick|099r||p098v_5
 iron filings|099r||p098v_5
 potin|099r||p098v_5
 Latten|099r||p098v_5
 copper|099r||p098v_5
 metals already alloyed|099r||p098v_5
 Iron|099r||p098v_5
 copper|099r||p098v_5
 latten|099r||p098v_5
 sand|099r||p098v_5
 charcoal|099r||p098v_5
 charcoals|099r||p098v_5
 bricks|099r||p098v_5
 charcoal|099r||p098v_5
 water|099r||p098v_5
 Lean white sand|099r|Lean white sand|p099r_2
 porphyry|099r|Lean white sand|p099r_2
 vinegar|099r|Lean white sand|p099r_2
 water|099r|Lean white sand|p099r_2
 salt water|099r|Lean white sand|p099r_2
 salt|099r|Lean white sand|p099r_2
 substance of skillets|099r|Lean white sand|p099r_2
 White sand|099r|Lean white sand|p099r_2
 sulfur|099r|Lean white sand|p099r_2
 leaded|099r|Lean white sand|p099r_2
 sal ammoniac|099r|Lean white sand|p099r_2
 water|099r|Lean white sand|p099r_2
 solder|099r|Bell handles|p099r_3
 metal|099v|Cannons|p099v_2
 oil|099v|Cannons|p099v_2
 metal|099v|Cannons|p099v_2
 gold|099v|Gilding your molding for panels without gold|p099v_4
 orpiment in leaf form|099v|Gilding your molding for panels without gold|p099v_4
 orpiment|099v|Gilding your molding for panels without gold|p099v_4
 gold|099v|Gilding your molding for panels without gold|p099v_4
 ground metals|099v|Gilding your molding for panels without gold|p099v_4
 ground cristallin|099v|Gilding your molding for panels without gold|p099v_4
 touchstone|099v|Gilding your molding for panels without gold|p099v_4
 Orpiment|099v|Orpiment orange|p099v_5
 arsenic|099v|Orpiment orange|p099v_5
 Varnish|099v|Varnish|p099v_6
 mastic|099v|Varnish|p099v_6
 mastic|099v|Varnish|p099v_6
 clear & white turpentine oil|099v|Varnish|p099v_6
 eau-de-vie|099v|Varnish|p099v_6
 ashes|099v|Varnish|p099v_6
 or sur mat|100r|Gold color|p100r_1
 canvas|100r|Gold color|p100r_1
 oil panel|100r|Gold color|p100r_1
 walnut oil|100r|Gold color|p100r_1
 lead|100r|Gold color|p100r_1
 ceruse|100r|Gold color|p100r_1
 massicot|100r|Gold color|p100r_1
