folio,folio_display,div_id,categories,heading_tl,al_tl,bp_tl,cn_tl,def_tl,env_tl,m_tl,md_tl,ms_tl,mu_tl,pa_tl,pl_tl,pn_tl,pro_tl,sn_tl,tl_tl,tmp_tl,wp_tl,de_tl,ge_tl,it_tl,la_tl,oc_tl,po_tl
079v,79v,p079v_3,casting,Tin for casting,,,,,,Tin;common tin;fine lead;tin;fine tin,,lb;quintal,,,,,pewterers,,,,,,,,,,
079v,79v,p079v_4,printing,Mixture for printers,,,,,,pulverized antimony;latten;old scrapings or thin plates of iron;iron nail heads;tin;lead,,,,,,,printers,,crucible;four à vent;crucible,,,,,,,crucible;crucible,
080r,80r,p080r_1,arms and armor,Petard,,,,,at the foot of a wall,fine copper;powder,,lb,,,,,,,reinforced firkin;gimlets,,,,,,,gimlets,
080r,80r,p080r_2,stones,Very hard white stucco,,,,,,stucco;White wax;Venice turpentine;eggshell;ceruse,,,,,Venice,,,,,,,,,,,,
080r,80r,p080r_3,tool;household and daily life,Fountains,,,,,,water;water;water,,twice as long as the ascending pipe;as long as,,,,,,,pipe;pipe;pipe;pipe;pipe;cornet,,,,,,,,
080v,80v,p080v_1,casting,Founders of small works of tin,oyster,finger,,,great flakes near the mountains,tin;solder;fine & soft tin;looking-glass tin;soft tin;stones of which are made the sharpening stones or files of barbers;slate;slate;carton;iron fittings;stones;stones;tallow;fine powder of quicklime;linen;linen;cork;lead;tin;distilled vinegar;calcined oyster shells,,finger,,,,,Founders of small works of tin;barbers,,pegs;frame;frame;frames;table is quite even;carton;compass;molds;mold;linen;mold;linen;borer;mold;a bit of cork;mold,,,,,,,,
081r,81r,p081r_1,casting,Sand,,,,,on the little hill,Sand;lead;tin;copper;metal;straw;filth;finest sand you have;linen;moistened sand;Tallow;Fixed mercury;metal;lead,,,,,Puy David;Thoulouse,,,,frame;very fine linen,,,,,,,,
081r,81r,p081r_2,casting,Earth for molding,,,,,,"Earth;Tanner’s earth, or the one with which potters make a whitening on pots;lead;lead;plaster;sulfur;earth;earth",,,,,Fosseret;Ox,,Tanner;potters,,,,,,,,,,
081r,81r,p081r_3,casting,Plaster,,,,,,Plaster;iron;metal;iron;iron;water;earth;plaster;glue,,,,,,,,,iron or metal pot;iron rod;mold,,,,,,,,
081r,81r,p081r_4,casting,Carton,,,,,,Carton;paper from Florence;water;linen;glue;cloth;strong glue,,,,,Florence,,,smell,pestle;linen;tooth,every day,,,,,,,
081v,81v,p081v_1,casting,Sand,,urine,,,,Sand;brick;lead;copper;urine;whitish brick,,,,,,,,,,,,,,,,,
081v,81v,p081v_2,casting,Making copper and latten run,,,,,,copper;latten;sal ammoniac;saltpeter;filth;ardides;latten;metal;iron;latten;sand;lute,,,,,,,,,frame;lute,,,,,,,,
081v,81v,p081v_3,casting,Sand,,,,,river,Sand;Calcined black pebbles from the river;lead;metal;clay earth with which one makes tiles;glair;Willow charcoal;sand for <-b-> lead;lead;Latten,,,,Willow,,,,,sleeve,,,,,,,,
081v,81v,p081v_4,casting,Frame casting,,,,,,boxwood;Lute;sand;metal;lead;copper;iron;latten;Black lead of saulmon,,,,boxwood,,,,,Frame;Lute;frame;frame;mold;mold;frame,,,,,,,,
082r,82r,p082r_1,casting, Heat of copper,,,,,,copper;filth,,,,,,,,,,,,,,,,,
082r,82r,p082r_2,casting,Frame,,,,,,Iron;copper;metal;wood;wood;bricks,,,,,,,,,Frame;mold;frames;mold,,,,,,,,
082r,82r,p082r_3,casting,Glair of eggs,,,,,,Glair of eggs;Glair of eggs;sand,,,,,,,,,,,,,,,,,
082r,82r,p082r_4,tool,Clockmakers,,,,,,latten,,distances as small as those of the small cogwheels;equal distances;third part into as many distances as is necessary with regard to the total division of the circle,,,,,Clockmakers,,compass;compass;sharp point,,,,,,,,
082v,82v,p082v_1,tool,Clockmakers,,,,,,molten lead,,,,,,,Clockmakers,,,In the past;today,,,,,,,
082v,82v,p082v_2,casting,Casting lead in lead,,,,,,lead;lead;lead;lead;Lead;lead;smoke;candle black;lead;tin,,,,,,,,,lead mold;candle,,,,,,,,
082v,82v,p082v_3,casting,Sand,,,,,,Sand,,,,,,,,,,,,,,,,,
082v,82v,p082v_4,casting,Method of casting in bronze,,,,,,bronze;Latten of potin;fine latten of pots;fine latten;red copper;smokes;lute;charcoal;iron;wool stuffing;iron;copper;fine latten;red copper,,half;half,,,,,founders,,crucible;forge;bellows;crucible;grate;crucible;bellows;crucible;lute;bellows;crucible;stick;crucible;iron slab;crucible,,,,,,,crucible,
083r,83r,p083r_1,casting,Sand  for lead,,,,,,Sand  for lead;lead;grey soot from the furnace of the silversmiths;quick lime;flour;grey soot of locksmiths,,ana,,,,,silversmiths;locksmiths,,forge,,,,,,℞;ana,,
083r,83r,p083r_2,casting,Sand for copper medals,,,,,,Sand for copper medals;copper;hat felt burnt;dross of iron;burnt bone;saltwater;straw;sands;porphyry;Burnt hat felt;Plaster;Bone;iron dross;Felt,,,,,,,,,pestled;porphyry,,,,,,℞,,
083r,83r,p083r_3,casting,Another sand,,,,,,sand;Charcoal of vine shoots;clay earth;well beaten glair of eggs;vinegar,,,,vine,,,,,sieved;furnace,,,,,,,,
083r,83r,p083r_4,casting,Another for lead,,,,,,lead;finely pestled slate;<-calcined-> pumice stone;varnish,,,,,,,,,pestled;pot,,,,,,℞,,
083r,83r,p083r_5,casting,Another,horse,,,,," little-cooked tile, ground;white wine;burnt black tracing paper;burnt horse dung;glair of egg;Tracing paper burnt;charcoal",,,,,,,,,,,,,,,℞,,
083r,83r,p083r_6,casting,Excellent sand,,,,,cellar;cellar;humid place;humid place,Excellent sand;Alabaster calcined;charcoal;alabaster;sal ammoniac;metal;sand;sand,,lb;℥,,,,,,,crucible;double sieve;mold,,,,,,,crucible,
083v,83v,p083v_1,casting,A way for molding excellently with water,,,,,humid place,water;sandiver;water;ashes;vitriol;copperas;water,,,,,,,,,,,,,,,,,
083v,83v,p083v_2,casting,  Molding in relief on one part and hollow on the other,,hands,,,,copper;latten;metal;sand;metal;filth;grime;grime;Vinegar;wine;coarse sand;soft & fine sand;willow charcoal;sand,,,,willow,,,,,frame;frame;frame;press;hands;frames;pegs;frame,,,,,,,,
083v,83v,p083v_3,tool;metal process,Bellows,,,,,aerated place;wind,charcoal,,,,,,,,,Bellows;bellows;bellows;furnace;grate;four à vent;furnace;blast-pipe;bellows,,,,,,,,
084r,84r,p084r_1,casting,Impromptu mask,,,,,,paper,,,,,,,,,,,,,,,,,
084r,84r,p084r_3,casting,Eau magistra,,,,,cellar,Eau magistra;rock salt;salt;sandiver;marble;tartar oil,,,,,,,,,marble;mold,,,,,,,,
084r,84r,p084r_4,casting,Flour,,,,,,Flour,,,,,,,,,,Advent;whole year,,,,,,,
084r,84r,p084r_5,casting,Sand from a mine in Thoulouse,,,,,"dry place;mine in Thoulouse;depths of the earth, from the small hill of Puy David",marble;Sand from a mine in Thoulouse;sand from Thoulouse;pulverized sandiver;pestled glass;sands;waters of the aforesaid salts;natural sand;copper;smokes,,,,,Thoulouse;Thoulouse;Puy David,,,,oven;mold;pestle;sieve;common sieve;pestled;copper kettle,after the bread has been taken out,,,,,,,
084v,84v,p084v_1,casting,Sand,oxen;oxen,fingers,,,,"Sand;bone of oxen feet, thoroughly burned & pulverized;porphyry;wine boiled with elm root;Iron dross;well burned bone of oxen feet;felt also well burned;porphyry;lead;Felt;sands;fatty sand;fatty metal;lean sand",,,,elm,,,,is not felt between your fingers,porphyry;fingers;porphyry;frame,,,,,,,,
084v,84v,p084v_2,casting,Eau magistra,oysters,,,,,Eau magistra;salt water;salt;wine boiled with elm root;Charcoal for pouncing;the one of willow;The one of oak or beech;burnt oysters,,,,elm;willow;oak;beech,,,,,,,,,,,,,
084v,84v,p084v_3,casting,Lead,,,,,,Lead;soft lead;soft tin,,,,,,,,,,,,,,,,,
084v,84v,p084v_4,casting,"Sand for lead, the most excellent of all, for high and low reliefs",hog,fingers,,,mine,Sand for lead;lead;ceruse;porphyry;well-beaten glair of egg;sand;oiled;oil;linen;hog bristle;clear walnut oil;linen;ceruse;water of glair of egg;oil;sands;felt;burnt bone;iron dross;marble;sands;water;glair;gummed water;wine boiled with elm root;oil;glass;soft lead;brittle tin;sand;soft lead;lean sand;pumice;scales;lean sands;metal;ceruse;minium;sands;Oil;aspic oil;oil;glair;sands;that of the mine,,,,walnut;elm root;aspic,,,,,porphyry;knife;knife;very clean & smooth table;fingers;knife;linen cloth;very small hog bristle  brushes;linen cloth;mold;frame;pestle;frame;frame,,,,,,,,
085r,85r,p085r_1,varnish;casting,Green varnish for medals of copper,,,,,,Green varnish;copper;sel de verre;sand;oil;dung,,days,,,,,,,,days,,,,,,,
085r,85r,p085r_2,household and daily life;decorative,Glue,,,,,,Glue;earthen;minium;massicot;varnish,,,,,Flemish,,,,earthen pots,,,,,,,,
085v,85v,p085v_1,casting,Founder,,,,,,beaten glair of egg;earth;glair;glair;Rosette;lead;rosette,,,,,,,Founder,,mold,,,,,,,,
085v,85v,p085v_2,tool,Mortars,,,,,private home,copper for cauldrons;rosette;fine copper;metal;metal;fine metal,,,,,,,apothecaries,ring;noise;ring,Mortars;mortars;pestling,,Grenades,,,,,,
085v,85v,p085v_3,casting,Sand from the mine,,,,,mine,Sand from the mine;great metals;porphyry;aspalte;tripoli;burnt felt,,,,,,,,,furnace;porphyry,,,,,,,,
085v,85v,p085v_4,casting,Experimented sands,oxen,fingers,sous,,mine;out of the wind,"Experimented sands;sand from Th{oulous}e;porphyry;wine boiled with elm root;Sand from the mine;metals;material of a skillet;potin;charcoals;metalline;potin;material of a skillet;sand;bone of oxen feet, burned, pulverized;glair of egg;wine boiled with elm root;bone sand;pulverized bone;material of a skillet;sand;ceruse;metal;sand;metal;lead;copper;latten;great metals;lute;metal;iron;metal;bone;sand;metal;card;paper",,thickness of a coin of forty sous;thicknesses of paper,,elm;elm,Th{oulous}e,Jesus,apothecaries,,skillet;fine sieve;the apothecaries’ double;porphyry;frame;furnace;sieved;double sieve;frame;molds;fingers;frame;frame;lute;frame;pestled;mortar;mold;card;paper;mold,,,,,,,,
086v,86v,p086v_1,casting,"Excellent sand for lead, tin, and copper",,finger,old K,,mine,"Excellent sand for lead, tin, and copper;lead;tin;copper;burnt bone;iron dross;burned felt;marble;beaten glair of egg;sand from the mine;copper;☾;old K;sand;soft lead;tin;Potin of syringe;fine latten;copper;latten;latten;copper;sand;sand;metal;carton;earth;fine casting sand",,night;hours;half;half;half,,,,,founders;Founders,sonorous;ring,marble;frame;frame;mold;frame;frame;crucible;bellows furnace;four à vent;four à vent;mold;frame;mold;carton;molds;finger,night;next morning;hours;three days a week;Tuesdays;Wednesdays;Thursdays;Saturdays,cannons,,,,,crucible,
087r,87r,p087r_1,casting,Sand from Thoulouse,,,,,vineyard;vineyard that is quite high up,"Sand from Thoulouse;the one which is found in a vineyard near Puy David;the one is from the Touch, near Sainct Michel & toward Blagnac, in a vineyard that is quite high up",,,,,Thoulouse;Puy David;Touch;Sainct Michel;Blagnac,,,,,,,,,,,,
087v,87v,p087v_1,casting,"Sand, slate, and burned earth",,,,,,Sand;slate;burned earth;Thoroughly burnt sand;Slate;burned earth;fatty sand;very finely ground sands,,,,,,,,,,,,,,,,,
087v,87v,p087v_2,casting,Magistra,,,,,,Magistra;roots of a young elm;wine;vinegar,,,,elm,,,Founders,,barrel,all year long,,,,,,,
087v,87v,p087v_3,casting,Sand of the mine of Thoulouse,,fingernail,,,mine;mine;deep in the earth;higher up,Sand of the mine of Thoulouse;Casting sand coming from the mine;melted resin;iron;porphyry;beaten glair of egg;lead;tin;porphyry;earth;glair of egg passed through a sponge;vinegar;glair;salt water;wine;sands;earth;rock;pure lead;vinegar,,,,,Thoulouse,,,,double sieve;porphyry;fingernail;mortar;porphyry;sponge,in a day;the next day,,,,,,,pressed together
088r,88r,p088r_1,cultivation,Osier,,,,,,,,,,Osier;bramble,,,,,,,,,,,,Osier,
088r,88r,p088r_2,tool,Mortars,,,,,,Fine copper;iron;metal;fine copper,,,,,,,,,Mortars;Fine copper mortars;iron pestle;metal mortar;large mortars,,,,,,,,
088r,88r,p088r_3,varnish,Varnish,,,,,,Varnish;Turpentine oil;turpentine;good eau-de-vie,,,,,,,,,chafing dish;knife,,,,,,,,
088r,88r,p088r_4,cultivation,Grafting,,,,,,,,,,,,,,,,,,,,,,,
088r,88r,p088r_5,household and daily life,Baker,,,,,,Dust;wheat;ashes;wheat;rough cloth;canvas;ashes;wheat,,,,wheat;wheat;wheat,,,Baker,,sieve;boulting cloth of rough cloth or canvas,,,,,,,becoming infested with weevils,
088r,88r,p088r_6,casting,Looking-glass tin,,,,,,Looking-glass tin,,,,,,,,,,,,,,,,,
088v,88v,p088v_1,casting,Sand from pulverized rock salt and sand from the mine finely ground on marble ,,,,,mine;cellar;in the humidity,Sand from pulverized rock salt;sand from the mine;marble;marble;porphyry;paper;marble;rock salt;salts,,night,,,,,,,marble;marble;pestled;mortar;porphyry;double sieve;sleeve of a shirt;paper;marble,night,,,,,,,
088v,88v,p088v_2,casting,Mineral sand,,hands,,,quarry;rock formation;nature,Mineral sand;rock;water;porphyry;cloth waste;lead;copper;fatty sands;metal;artificial sands;Orberé grain;wheat flour,,,,Orberé grain;wheat,,,Artisans who work in large works,break apart between your hands,hands;sieve;porphyry;frame;sieve,,,,,,,,
089r,89r,p089r_1,casting,Sand of burnt ox bones and rock salt,ox;oxen,,,,serain of the night;moisture of the cellar,Sand of burnt ox bones and rock salt;porphyry;porphyry;paper;soft tin;tin;fine lead;tin;bone of the foot of oxen;fatty sand;tripoli;salts;felt;ashes,,as much of one as the other,,,,,,,porphyry;porphyry;paper;napkin,serain of the night,,,,,,,
089r,89r,p089r_2,casting,Reheating or drying a molded frame,,,,,,,,,,,,,,,frame,,,,,,,,
089r,89r,p089r_3,casting,Natural sand,,,,,,Natural sand;lead;tin,,,,,,,,,,,,,,,,,
089v,89v,p089v_1,casting,Sal ammoniac and alabaster,,fistfuls;hand,,,cave;in the serain;in a humid place;in the humidity,"Sal ammoniac;alabaster;Sal ammoniac, well pulverized;marble;alabaster, pulverized;alabaster;paper;salt;spike lavender oil;sal ammoniac;stone;sand that releases well;Ammoniac;salts appropriate for metals",,℥;lb;℥;lb;days,,spike lavender,,,,,marble;piece of paper;napkin;frame;hand;mold,serain;days,,,,,,,
089v,89v,p089v_2,casting;glass process,"Glassmakers’ white sand from the mine, mixed with sal ammoniac",,,,,mine;town,"Glassmakers’ white sand from the mine;sal ammoniac;sand white <-mai-> like salt and lean;salt;porphyry;calcined alabaster;gummed or pure water;porphyry;mustard;oil either of olive, walnut, or even better spike lavender",,days,,olive;walnut;spike lavender,Cominge;Aurignac,,Glassmakers’;glassmakers;potters,,porphyry;mold;frame;porphyry,days,,,,,,,
090r,90r,p090r_1,casting,Sal ammoniac and iron dross,,,,,in the serain;cellar,Sal ammoniac;iron dross;sal ammoniac;bronze;porphyry;pulverized & finely ground iron dross,,,,,,,,,bronze mortar;double sieve;porphyry;napkin,serain,,,,,,,
090r,90r,p090r_2,casting,Sand,,,,,,Sand;crocum ferri;calcined slate,,,,,Foix,,Molders,,,,,,,,crocum ferri,,
090r,90r,p090r_3,casting,That any sand can be rendered good,,fingers,,,mine;from the depths of the sand-bed;near the rocks in mountainous areas;lean territories;in the surroundings of all the bonnes villes;close to their house;mine,"sand;sands;the one of the <-s-> mine<-s->;earth;arene;sand from a mine;water;water;porphyry;chalk;salts;linen, or burnt felt;ashes of paper",,,,,bonnes villes;Lyon;Venice;Paris near the Sainct Chappelle,,Artisans who work in large works;artisans,soft when handling it between the fingers,fingers;sieve;vessel;vessel;porphyry,,,,,,,,
090v,90v,p090v_1,casting,Terre fondue of potters,,,,,,Terre fondue of potters;mustard;water;salt water;sands,,,,,,,potters,,mortar;mustard mill,,,,,,,,
090v,90v,p090v_2,cultivation,Orange trees,,,,,gardens,soil,,every two years,,Orange trees;orange tree,Italy;Lombardy,,,,square wooden cases;buckles;straps;cases;cases;screws;nails,every two years,,,,,,,
091r,91r,p091r_1,cultivation,Grafting,,,,,"serain & mild weather, & not too cold & windy",,,,,vine;peaches;apricots;Apricot trees;prune trees;almond trees,,,,,,,,,,,,,
091r,91r,p091r_2,casting,Molding with cuttlefish bone,cuttlefish;cuttlefish,hands; two ,,,in a humid place,cuttlefish bone;bone;roof tile;pulverized willow charcoal;bones;willow charcoal;brick;bone;bone;willow charcoal;bones;metal;metal;bones;lead;bones;bones;wood;clay;bones;willow charcoal;oil;willow charcoal powder;oily;cuttlefish bone;bone;bone;bone;lead;tin;metal;Tin;bone,,proportion,,willow;willow;willow;willow;willow,,,,,cuttlefish bone;knife;hooked roof tile;bones;counter bone;bone;bone;bones;hammer;chisel;mold;penknife;bones;bones;bones;shards of wood;hands joined between your two knees;press;bones;brush;cuttlefish bone;bone;bone;bone;frame;bone;mold,,,,,,,,
092r,92r,p092r_1,casting,Sand Mixture easy to melt,,,,,,Sand;soft tin;fine lead;looking-glass tin;fixed quicksilver;solder;fine tin,,℥;part;part;part;part,,,,,,,dish of fine tin,,,,,,,,
092r,92r,p092r_2,casting,Molding hollow on one side and in relief on the other,,,,,,fine tin;solder;fine tin;lamp black;water;copper;silver;lead;tin;tin;Tin;Soft tin,,,,,,,,,frame;frame;paintbrush;frame,,,,,,,,
092r,92r,p092r_3,metal process,Potin,,,,,,Potin;Potin;tin;verd,,,,,,,,,,,,,,,,,
092r,92r,p092r_4,casting,Molding statues,,,,,,founder’s earth which founders use;clay earth,,Half;half,,,,,founders,,,,,,,,,,
092v,92v,p092v_1,casting,Sand from river tellins and mussels,tellins;mussels;shells,,,,river;fresh water rivers,Sand from river tellins and mussels;shells;impalpable white sand,,,,,,,,,,,,,,,,,
092v,92v,p092v_2,metal process,Congealing mercury,,,,,,mercury;iron;☿;verdet;vitriol of saltpeter;old water from farriers;tin;filth;☿;tin;tin;☿;tin;☿;aquafortis;silver;tin;lead,,hours;℥;℥;ana;℥;℥,,,,,farriers,,iron pot;shovel;spoon;hollow crucible,hours,,,,,ana,,
092v,92v,p092v_3,metal process,Mixture,,,,,,Fine tin;congealed mercury;tin;looking-glass tin;fine lead;solder,,as much of one as the other,,,,,,,,,,,,,,,
093r,93r,p093r_1,cultivation,Olives,,hands,,,,salt water,,once a month,,Olives,,,,touch,,once a month,,,,,,,
093r,93r,p093r_2,cultivation,Observation from rustics,,,,,freezes;freezes;frost,,,,,,,,rustics,,,Palm Sunday;all the months of the year,,,,,,,
093r,93r,p093r_3,cultivation,Grafts,,,,,wind;in freezing weather,,humor;humor,,,peach trees;plum trees,,,,,,,,,,,,,
093r,93r,p093r_4,casting,Sand,,,,,hearth,Sand;white ash of all woods;wood,,,,,,,,,hearth,,,,,,,,
093r,93r,p093r_5,casting,Sand,,,,,kitchens;big kitchens,Sand;Well pulverized <-ash-> tallow;ash;Finely pulverized quicklime;flint,,,,,,,,,,,,,,,,,
093v,93v,p093v_1,painting,Face in distemper,,,,,fireplaces of large kitchens,distemper;distemper;canvas;bistre;canvas;rust;bistre;distemper;oil;bistre;ocre de ru;sap green;bistre;marble,,,,,,,,screeches,sponge;paintbrush;paintbrush;marble,,,,,,,,
093v,93v,p093v_2,painting,Azure,,,,,,Azure;Azur d’esmail;filth;wash water;canvas;wood;Varnish;oil,,,,,,,painters;grocers,,paintbrush;palette,,,,,,,,
093v,93v,p093v_3,painting,Violet and lake,,,,,,lake;azure;lake;glass,,,,,,,,,palette;polished knife;glass,,,,,,,,
094r,94r,p094r_1,arms and armor,Furbisher,dog;dogfish;dog;calf;sheep;calf;sheep;calf;cow;sheep;calf;calf;cow;sheep,hand;sweating;fingers;foot;finger;hand;finger;foot,sous;sous;lb;liard;sous;carolus;lb;sous;sous;sous;sous,,sea,"iron;wood;glues;gummed wax;wax;pitch;rosin;wood;thread;thread;iron wire;dog skin;glue;wood;silk;thread;threads;silk;silk;silk;dogfish skin;annealed iron wire;threads of gold & of fine & false silve;velvet;Iron wire;silk;dog skin;skin;not quite lukewarm aquafortis;skin;black thread;gold;thin yellow canvas;canvas yellowed with chalk;canvas;glue;gum;thread;silk;threads;silver;silk;silk;fine gold;sage leaf;rowan,;oil;emery;iron;very even steel, & well filed;stone;sharpening stone;flin;thunder                 stone;felinder;bloodstone;boxwood;fresil;willow wood;fresil;iron scale;better steel & iron;pulverized emery;flour;oil;emery;oil;oil;felin;thunderstone;felinder;felin;chalk;oil;dry chalk;wood;wood;wood;water;rosin;glue;rosin;pulverized rosin;Pearled;wood;beech wood;wood;iron;wood;leather;black stone;leather;velvet;glued;tallow;calf or sheep leather;leather;flesh;boxwood;good calf skin;skin;lightly lukewarm water;wood;black thread;boxwood;oil;velvet;velvet;plain canvas;parchment;waxed;velvet;wood;thin canvas;waxes;velvet;waxed;sheep skin",,sous;dozen;hours;sous;fingers in thickness;dozen;lb a dozen;drop;dozen;sous;carolus;dozens;dozen;lb;sous;sous;finger’s thickness across;half a foot;a day;sous;sous,,sage;rowan;boxwood;willow;beech;boxwood;boxwood,Spanish;Vienne;Dauphiné;Spanish;Vienne,,Furbisher;Those who create sword guards;artisans;furbisher;farriers;furbisher;furbisher;locksmiths;farriers;King;furbishers;apprentice;furbisher;joiner;workman;worker who made the wood piece;common people,,"fustée;iron wire;dog skin;spinning wheel;scabbard bench;chameau;arson;stick of the fustée;burnish;fustée;oil horn;emery horn;halberd point;filed;grateau;file;stone;sharpening stone;flin;thunder                 stone;baston a felinder;fustée;fustée;fresil stick;farriers’ forge;well-forged;forge;foot;grindstone;chameau;pulverized emery;stick;grindstone;emery;finger;chameau;felin;thunderstone;fustée;baton à felinder;felin;chalk;dry chalk;gratteau;hand;vise;file;hammer;hammer;file;chisel;nails;nail;scabbard bench;plane;small iron tool;joiners’ bench;plane;plane;knife with two handles;joiner’s plane;round plane, also mounted with two handles;small narrow plane;black stone;chisel;joiner’s plane;boxwood;plane;boxwood;cloth",hours;day,sword;sword;guard;sword;guard;guard;guard;guard;sword;guard;sword;sword;sword;sword guards;swords;swords;sword guards;guards;swords from Vienne;sword;sword;sword;sword;guards;guard;sword;Guards;sword;sword;sword;sword;swords,,,,,vise,
096v,96v,p096v_1,arms and armor,Grey guards,,,,,in the fireplace,ashes;ashes;ashes;hot charcoal;filth;ash,,hour,,,,,,,cauldron full of ashes,hour,guards;guard;guard;guard;guards,,,,,,
096v,96v,p096v_2,arms and armor;metal process,Color of water,,,,,,bloodstone;bloodstone;filth;varnish,,day,,,,,,,soft file;burnisher,day,guards;guards;guards,,,,,,
096v,96v,p096v_3,arms and armor;metal process;varnish,Yellow varnish,,,,,,Yellow varnish;walnut <-olive-> oil;charcoal;charcoal;ash;smoke,,,,walnut;olive,,,furbishers,,feather;furbishers’ furnace,,guards,,,,,,
097r,97r,p097r_1,arms and armor;metal process;varnish,Black varnish,,,,,,Black varnish;galipot,,,,,,,,,,,,,,,,,
097r,97r,p097r_2,arms and armor;metal process,Gilding,,nose;fingers,sous,,,silver;gold;bloodstone;putty;gold;gold;bloodstone;ashes;iron;white linen cloth;gold,,quarteron,,,,,painters,one smells it & brings it close to the nose,"soft, very soft, file;vise;tweezers;iron rod;white linen cloth",,guards;guards;guards;guards;guard;guard;guard,,,,,vise,
097r,97r,p097r_3,arms and armor;metal process,Gilding with silver,,,,,,silver;gold;silver foil;silver;foil;bloodstone;gold,,,,,,,,,file;knife;tweezers;burnisher;burnisher;burnisher,,guards;guard,,,,,,
097v,97v,p097v_1,varnish,Mastic varnish dry in a half hour,fleas,head;fingertip;finger,,,,Mastic varnish;mastic;turpentine;turpentine oil;eau-de-vie;varnish;turpentine oil;turpentine;eau-de-vie;oil;subtly ground mastic;oil;ashes;turpentine oil;mastic;filth;mastic;straws;varnish;oil;mastic;varnish;varnish;oil;water;pulverized mastic;varnish;spike lavender;turpentine oil;spike lavender oil;varnish;varnish,go to your head,half hour;℥;half ℥;half ℥;one-third,,straws;spike lavender;spike lavender,Italians,,,,varnished bowl;sieve;knife;mortar;very fine sieve;fingertip;finger,half hour;long time,,,,,,,
097v,97v,p097v_2,painting;medicine,Working on glass,,breath,,,,,,,,,,,workers,,,,,,,,,,
098r,98r,p098r_1,varnish,Varnish for lutes,dragon,,,,,Varnish;turpentine;oil of turpentine or of spike lavender;amber pulverized;mastic;dragon’s blood;terra merita,,,,spike lavender,,,,,,,,,,,,,
098r,98r,p098r_2,cultivation;household and daily life,Borders of a garden,,,,,garden,iron,,length,,rosemary,,,,,rake;cord;cord;pruning knife;cord;iron stake,,,,,,,,
098r,98r,p098r_3,metal process;varnish,Locksmith,lizard,,,,,tin;vinegar;linen;rosin;varnish;pure & fine tin;iron;tin;rosin;filth;iron;tin;tow;tinned;rosin;tin;tin;tinned;tinning done in leaf;tin;tinning;sal ammoniac,,pauses,,linen,,,Locksmith;Leadsmiths,,file;linen cloth;estamiere;head of a nail;iron;small stick wrapped in tow,pauses;year,,,,,,,
098v,98v,p098v_1,animal husbandry,Small dogs,dogs;dogs;water-dogs,,,,,,,,,,,,,,,,,,,,,,
098v,98v,p098v_2,cultivation,Salted artichokes,,,,,,brine;oil;vinegar;brine;egg;egg;fruits,,all year,,artichokes,,,,,firkin,all year,,,,,,,
098v,98v,p098v_3,cultivation,Trees,,,,,,,,,,,,,,,,,,,,,,,
098v,98v,p098v_4,animal husbandry,Birds,Birds;hare,,,,,down;hare skin,,,,,,,,,rod,,,,,,,,
098v,98v,p098v_5,casting,Founding,,finger,,,,putty;burnt earth;earth bourre bolvene;stone;straw;earth;oiled;Earth;sand;water;sand;Latten from a candlestick;iron filings;potin;Latten;copper;metals already alloyed;Iron;copper;latten;sand;charcoal;charcoals;bricks;charcoal;water;Lean white sand;porphyry;vinegar;water;salt water;salt;substance of skillets;White sand;sulfur;leaded;sal ammoniac;water,,hours,,,,,glassmakers,smells like sulfur,stone;straw;brush;finger;frame;crucible;crucible;furnace;bricks;furnace;crucible;porphyry;mold,hours,,,,,quod non credo,crucible;crucible;crucible,
099r,99r,p099r_3,casting,Bell handles,,,,,,solder,,,,,,,,,,,,,,,,,
099v,99v,p099v_1,cultivation,Quince trees,,,,,,,,,,Quince trees,,,,,,,,,,,,,
099v,99v,p099v_2,arms and armor,Cannons,,,,,,metal;oil;metal,,,,,,,,,bore;borer;boring;mold;borer;wimble;bore,,Cannons;cannon,,,,,,
099v,99v,p099v_3,casting,Bells,,,,,,,,,,,,,,,,,,,,,,,
099v,99v,p099v_4,painting,Gilding your moldings for panels without gold,,,,,,gold;orpiment in leaf form;orpiment;gold;ground metals;ground cristallin;touchstone,,,,,,,,,,,,,,,,,
099v,99v,p099v_5,painting,Orange from orpiment,,,,,,orpiment;arsenic,,,,,,,,,,,,,,,,,
099v,99v,p099v_6,varnish,Varnish,,,,,,Varnish;mastic;mastic;clear & white turpentine oil;eau-de-vie;ashes,,ounces,,,,,,,vessel,,,,,,,,
100r,100r,p100r_1,painting,Gold color,,,,,in the sun;on the fire;weather is not serain & dry;weather is musty & humid,or <-on-> mat;canvas;oil panel;walnut oil;lead;ceruse;massicot;minium;verdet;orpiment;gold,,,,walnut,,,,,,weather is not serain & dry;weather is musty & humid,,,,,,,
100r,100r,p100r_2,painting,Portraying from nature,,,,,,,,,,,,,,observe,,,,,,,,,
100r,100r,p100r_3,stones,Gemstones,,,,,,Gemstones;thick glass;mastic;wood;glass;glass;glass,,,,,,,perfumers,,pestle;mortar of thick glass;mortar of wood;pestle;Mortar of glass;slab of glass,,,,,,,,
100r,100r,p100r_4,stones,Vitrified saltpeter,,,,,,saltpeter;pebbles;glass;white calcined pebbles;large panes of glass;glass,,as much of the white calcined pebbles,,,,,,,hot tile or shovel;little furnace,,,,,,,,
